,ID,Name,Team,Age,Overall Rating,Best Overall,Position,Market value,Wage,Attacking stats,Movement stats,Power stats,Defence stats,Goal-Keeper stats,Skill sets,Total potential
59,120533,Pepe,Real Madrid,27,84,84,CB,€0,€0,272,378,351,265,47,280,88
60,120274,A. Di Natale,Udinese,32,84,85,CAM,€0,€0,412,415,368,96,54,424,86
61,52091,P. Evra,Manchester United,29,84,84,LWB,€0,€0,340,433,378,260,57,368,86
62,48940,P. Čech,Chelsea,28,84,84,GK,€0,€0,92,283,223,36,416,99,90
63,34079,A. Cole,Chelsea,29,84,84,LWB,€0,€0,346,413,370,260,47,364,87
64,30110,D. Berbatov,Manchester United,29,84,84,ST,€0,€0,427,389,390,67,53,385,87
65,23461,W. Samuel,Inter,32,84,84,CB,€0,€0,273,362,369,270,39,229,87
66,7826,R. van Persie,Arsenal,26,84,84,CAM,€0,€0,417,396,380,76,39,421,89
67,3622,Ricardo Carvalho,Real Madrid,32,84,84,CB,€0,€0,307,349,323,264,56,270,87
68,189505,Pedro,FC Barcelona,22,83,83,LM,€0,€0,382,411,361,93,52,384,86
69,170797,N. Şahin,Borussia Dortmund,21,83,83,CM,€0,€0,370,386,360,215,59,418,86
70,167397,Falcao,FC Porto,24,83,83,ST,€0,€0,407,392,392,77,43,397,87
71,165153,K. Benzema,Real Madrid,22,83,83,ST,€0,€0,398,411,373,40,41,362,88
72,163705,S. Mandanda,Olympique de Marseille,25,83,83,GK,€0,€0,81,223,206,35,417,88,88
73,163419,B. Sagna,Arsenal,27,83,83,RB,€0,€0,344,404,373,255,40,341,85
74,162131,Fernando Llorente,Athletic Club de Bilbao,25,83,83,ST,€0,€0,392,376,405,67,47,318,85
75,148119,I. Akinfeev,PFC CSKA Moscow,24,83,83,GK,€0,€0,82,322,232,43,417,92,88
76,147777,A. Arshavin,Arsenal,29,83,83,RW,€0,€0,367,411,350,74,50,408,88
77,146748,Diego López,Villarreal CF,28,83,83,GK,€0,€0,75,283,204,41,413,78,87
78,146692,Nenê,Paris Saint-Germain,28,83,83,CAM,€0,€0,397,391,375,45,48,425,85
79,146562,Santi Cazorla,Villarreal CF,25,83,83,RM,€0,€0,361,413,363,79,42,387,86
80,142754,J. Mascherano,FC Barcelona,26,83,83,CDM,€0,€0,322,380,359,266,34,341,86
81,136194,Luís Fabiano,Sevilla FC,29,83,83,ST,€0,€0,397,399,383,62,42,363,86
82,136130,Alex,Chelsea,28,83,83,CB,€0,€0,285,340,423,250,51,320,84
83,119152,K. Touré,Manchester City,29,83,83,CB,€0,€0,268,362,421,258,51,315,87
84,111093,Reyes,Atlético Madrid,26,83,83,LM,€0,€0,377,406,347,68,57,424,85
85,53302,D. De Rossi,Roma,26,83,83,CDM,€0,€0,392,384,419,246,54,386,86
86,53116,F. Miccoli,Palermo,31,83,83,CF,€0,€0,376,411,361,87,55,415,85
87,53050,E. Adebayor,Real Madrid,26,83,83,ST,€0,€0,405,401,396,64,51,337,88
88,51539,E. van der Sar,Manchester United,39,83,83,GK,€0,€0,76,267,214,33,422,85,87
89,46815,B. Hangeland,Fulham,29,83,83,CB,€0,€0,303,362,387,251,50,285,85
90,45601,F. Malouda,Chelsea,30,83,83,LM,€0,€0,374,413,387,74,54,400,86
91,20289,Y. Touré,Manchester City,27,83,83,CM,€0,€0,353,384,423,240,53,372,87
92,7631,A. Cassano,Milan,27,83,86,CAM,€0,€0,409,398,359,90,46,432,86
93,5809,N. Anelka,Chelsea,31,83,83,ST,€0,€0,394,410,403,85,45,345,89
94,2147,M. Stekelenburg,Ajax,27,83,83,GK,€0,€0,102,337,245,44,419,118,86
95,1088,A. Nesta,Milan,34,83,83,CB,€0,€0,251,358,314,263,56,268,89
96,191180,J. Pastore,Palermo,21,82,83,RM,€0,€0,374,397,379,109,51,409,90
97,184941,A. Sánchez,Udinese,21,82,82,RW,€0,€0,359,422,365,108,60,387,86
98,183898,A. Di María,Real Madrid,22,82,82,LW,€0,€0,366,416,382,134,51,402,86
99,183277,E. Hazard,LOSC Lille,19,82,82,RM,€0,€0,370,413,363,96,45,396,87
100,181872,A. Vidal,Bayer 04 Leverkusen,23,82,82,CDM,€0,€0,360,397,376,248,48,361,84
101,180432,Hernanes,Lazio,25,82,82,CAM,€0,€0,377,378,390,197,53,415,86
102,180175,Alexandre Pato,Milan,20,82,83,ST,€0,€0,390,413,371,55,54,360,91
103,179752,O. Cardozo,SL Benfica,27,82,82,ST,€0,€0,395,379,416,96,50,387,85
104,178372,B. Ivanović,Chelsea,26,82,82,CB,€0,€0,336,355,388,250,56,313,84
105,178088,Mata,Valencia CF,22,82,82,LW,€0,€0,384,405,353,53,46,399,88
106,176927,Welliton,Spartak Moscow,23,82,82,ST,€0,€0,384,419,405,76,41,353,89
107,176580,L. Suárez,Liverpool,23,82,82,CF,€0,€0,395,410,399,113,153,397,88
108,171877,M. Hamšik,Napoli,22,82,82,CAM,€0,€0,402,399,387,181,51,402,88
109,165580,Diego Alves,UD Almería,25,82,82,GK,€0,€0,85,328,237,40,401,98,86
110,162409,G. Rossi,Villarreal CF,23,82,82,CAM,€0,€0,372,406,366,67,44,403,86
111,159065,E. Lavezzi,Napoli,25,82,85,RW,€0,€0,361,432,387,39,48,391,87
112,158133,J. Farfán,FC Schalke 04,25,82,82,RM,€0,€0,371,413,374,67,59,399,85
113,157503,A. Song,Arsenal,22,82,82,CDM,€0,€0,334,385,361,246,58,322,86
114,157304,T. Vermaelen,Arsenal,24,82,82,CB,€0,€0,328,373,390,254,47,324,87
115,152908,A. Young,Aston Villa,24,82,82,RW,€0,€0,346,401,322,94,67,408,86
116,152747,A. Lennon,Tottenham Hotspur,23,82,82,RW,€0,€0,320,433,312,55,50,347,85
117,152554,G. Clichy,Arsenal,24,82,82,LWB,€0,€0,319,417,322,249,42,327,86
118,152039,D. Agger,Liverpool,25,82,82,CB,€0,€0,312,340,415,255,62,342,86
119,150724,J. Hart,Manchester City,23,82,82,GK,€0,€0,71,314,239,41,408,87,88
120,146758,Soldado,Valencia CF,25,82,82,ST,€0,€0,384,400,397,119,50,341,88
121,143745,A. Turan,Galatasaray SK,23,82,82,RW,€0,€0,361,399,339,81,52,358,88
122,142707,L. López,Olympique Lyonnais,27,82,82,ST,€0,€0,394,412,408,96,48,382,86
123,141645,E. Abidal,FC Barcelona,30,82,82,LB,€0,€0,283,392,314,256,60,315,85
124,138110,Bruno Alves,Zenit St. Petersburg,28,82,82,CB,€0,€0,279,378,417,244,63,355,85
125,137361,G. Pazzini,Inter,25,82,82,ST,€0,€0,411,388,389,80,43,342,85
126,136144,Robinho,Milan,26,82,84,RW,€0,€0,383,407,357,59,50,407,86
127,135460,Alex,Fenerbahçe SK,32,82,82,CAM,€0,€0,395,359,351,62,46,415,84
128,134906,M. Chamakh,Arsenal,26,82,82,ST,€0,€0,406,411,400,139,56,372,88
129,123576,M. Borriello,Roma,28,82,82,ST,€0,€0,392,393,403,76,42,341,84
130,111661,C. Kameni,RCD Espanyol,26,82,82,GK,€0,€0,81,292,217,33,399,86,87
131,53612,P. Mertesacker,SV Werder Bremen,25,82,82,CB,€0,€0,252,328,340,257,50,233,85
132,53012,T. Wiese,SV Werder Bremen,28,82,82,GK,€0,€0,81,292,248,33,397,88,86
133,50598,D. Bent,Aston Villa,26,82,82,ST,€0,€0,375,421,377,97,39,316,84
134,50542,J. Defoe,Tottenham Hotspur,27,82,82,ST,€0,€0,361,418,379,52,47,333,83
135,46042,Juan,Roma,31,82,82,CB,€0,€0,276,354,314,264,50,247,86
136,45119,Mikel Arteta,Everton,28,82,83,CAM,€0,€0,392,394,390,204,61,427,84
137,41784,M. Niang,Fenerbahçe SK,30,82,82,ST,€0,€0,400,407,389,97,44,377,85
138,28130,Ronaldinho,Flamengo,30,82,82,CAM,€0,€0,379,370,340,59,54,442,87
139,20800,Danny,Zenit St. Petersburg,26,82,84,RM,€0,€0,370,413,369,88,40,414,88
140,11141,M. Klose,FC Bayern München,32,82,82,ST,€0,€0,409,405,391,75,52,324,85
141,10959,P. Aimar,SL Benfica,30,82,84,RM,€0,€0,385,401,343,86,41,429,87
142,7743,L. Donovan,LA Galaxy,28,82,83,RM,€0,€0,388,418,370,123,49,394,84
143,5467,J. Carragher,Liverpool,32,82,82,CB,€0,€0,256,326,312,258,65,205,84
144,3647,M. Ballack,Bayer 04 Leverkusen,33,82,82,CM,€0,€0,411,366,416,220,51,388,86
145,1041,J. Zanetti,Inter,36,82,83,CDM,€0,€0,342,379,390,250,46,379,86
146,246,P. Scholes,Manchester United,35,82,83,CAM,€0,€0,394,347,377,164,47,397,88
147,241,R. Giggs,Manchester United,36,82,82,LM,€0,€0,394,374,346,117,32,422,88
148,190871,Neymar,Santos,18,81,83,RW,€0,€0,379,424,316,86,59,401,88
149,189596,T. Müller,FC Bayern München,20,81,81,ST,€0,€0,391,395,380,83,52,357,87
150,189511,Sergio Busquets,FC Barcelona,21,81,81,CDM,€0,€0,333,361,346,239,48,374,84
151,187688,Ganso,Santos,20,81,81,CAM,€0,€0,369,382,354,118,48,392,89
152,186627,M. Balotelli,Manchester City,19,81,81,ST,€0,€0,380,401,379,68,44,389,87
153,183177,L. Barrios,Borussia Dortmund,25,81,81,ST,€0,€0,380,402,381,86,60,323,84
154,179944,David Luiz,Chelsea,23,81,81,CB,€0,€0,316,388,374,244,54,322,88
155,179846,S. Khedira,Real Madrid,23,81,81,CDM,€0,€0,369,380,406,239,48,375,86
156,179591,Pablo Hernández,Valencia CF,25,81,81,RW,€0,€0,372,399,350,122,49,388,83
157,179546,M. Marin,SV Werder Bremen,22,81,81,RW,€0,€0,343,419,290,61,58,400,87
158,178603,M. Hummels,Borussia Dortmund,21,81,81,CB,€0,€0,328,370,352,249,42,304,88
159,177326,M. Valbuena,Olympique de Marseille,25,81,81,RW,€0,€0,371,397,359,100,48,393,83
160,176949,B. Ruíz,FC Twente,24,81,82,LW,€0,€0,400,404,376,105,36,394,87
161,176944,M. Fellaini,Everton,22,81,81,CDM,€0,€0,384,372,407,227,49,318,83
162,171919,Naldo,SV Werder Bremen,27,81,81,CB,€0,€0,295,375,392,250,60,313,85
163,170733,Gervinho,LOSC Lille,23,81,81,ST,€0,€0,386,410,363,129,59,364,87
164,167905,L. Valencia,Manchester United,24,81,81,RM,€0,€0,364,418,384,133,46,372,87
165,165740,A. Johnson,Manchester City,22,81,81,LM,€0,€0,347,396,344,103,48,392,85
166,164859,T. Walcott,Arsenal,21,81,81,RW,€0,€0,354,428,343,96,45,357,86
167,164477,J. Mikel,Chelsea,23,81,81,CDM,€0,€0,333,384,378,237,62,355,86
168,164169,Filipe,Atlético Madrid,24,81,81,LWB,€0,€0,348,414,376,242,49,396,86
169,162893,J. Djourou,Arsenal,23,81,81,CB,€0,€0,280,382,322,246,60,282,86
170,162347,João Moutinho,FC Porto,23,81,83,CAM,€0,€0,389,391,381,192,69,413,87
171,161956,Borja Valero,Villarreal CF,25,81,81,CAM,€0,€0,366,376,369,170,39,412,83
172,159261,F. Quagliarella,Juventus,27,81,81,ST,€0,€0,394,391,406,115,42,375,85
173,157481,Raúl Albiol,Real Madrid,24,81,81,CB,€0,€0,302,362,368,250,41,317,88
174,153296,Y. Gourcuff,Olympique Lyonnais,23,81,82,CAM,€0,€0,386,401,399,162,45,414,86
175,152850,Alex,Spartak Moscow,28,81,81,CAM,€0,€0,378,407,371,156,49,407,86
176,150516,L. Podolski,1. FC Köln,25,81,81,ST,€0,€0,383,396,386,42,48,369,87
177,148803,K. Huntelaar,FC Schalke 04,26,81,81,ST,€0,€0,390,384,394,78,45,361,85
178,148711,Luisão,SL Benfica,29,81,81,CB,€0,€0,338,350,372,248,57,279,83
179,148224,Raúl Meireles,Liverpool,27,81,81,CAM,€0,€0,384,380,387,200,42,403,84
180,148138,I. Olić,FC Bayern München,30,81,81,ST,€0,€0,398,416,385,68,34,341,83
181,147660,S. Ryzhikov,Rubin Kazan,29,81,81,GK,€0,€0,73,321,229,39,401,89,84
182,142750,L. González,Olympique de Marseille,29,81,82,CAM,€0,€0,407,380,389,191,50,408,84
183,139997,D. Srna,Croatia,28,81,81,RM,€0,€0,370,393,374,238,39,414,83
184,139843,Michel Bastos,Olympique Lyonnais,26,81,82,LM,€0,€0,383,406,406,210,53,404,88
185,139094,Helton,FC Porto,32,81,81,GK,€0,€0,85,262,202,39,401,97,85
186,138782,D. Fletcher,Manchester United,26,81,83,CM,€0,€0,388,376,409,245,47,342,85
187,138445,D. Lugano,Fenerbahçe SK,29,81,81,CB,€0,€0,244,355,361,242,45,204,84
188,138412,J. Milner,Manchester City,24,81,82,RM,€0,€0,384,397,399,216,38,408,87
189,136138,Diego,VfL Wolfsburg,25,81,82,RM,€0,€0,376,392,356,87,45,431,88
190,135567,Nilmar,Villarreal CF,25,81,81,ST,€0,€0,391,419,354,43,43,356,86
191,135451,Gomes,Tottenham Hotspur,29,81,81,GK,€0,€0,75,308,244,40,392,79,84
192,121622,A. Tymoshchuk,FC Bayern München,31,81,81,CDM,€0,€0,319,370,418,244,50,347,83
193,116494,C. Carrasso,FC Girondins de Bordeaux,28,81,81,GK,€0,€0,72,304,217,40,398,80,85
194,114764,Iraizoz,Athletic Club de Bilbao,29,81,81,GK,€0,€0,75,309,231,33,404,76,83
195,106850,M. Vučinić,Roma,26,81,81,ST,€0,€0,393,399,389,106,58,392,85
196,102359,Z. Misimović,Galatasaray SK,28,81,81,CAM,€0,€0,380,367,360,83,50,412,85
197,54013,S. Downing,Aston Villa,25,81,81,LM,€0,€0,390,399,357,101,58,407,85
198,53578,N. De Jong,Manchester City,25,81,82,CB,€0,€0,344,368,386,243,41,345,84
199,51412,T. Cahill,Everton,30,81,81,ST,€0,€0,418,386,424,224,39,370,85
200,49012,K. Kuranyi,Dinamo Moscow,28,81,81,ST,€0,€0,393,392,406,73,36,297,83
201,45504,M. Petrić,Hamburger SV,29,81,81,ST,€0,€0,398,387,379,65,158,391,83
202,45186,Joaquín,Valencia CF,28,81,81,RM,€0,€0,354,393,337,65,50,411,87
203,40900,S. Diawara,Olympique de Marseille,31,81,81,CB,€0,€0,268,358,351,247,42,244,84
204,25420,C. Pizarro,SV Werder Bremen,31,81,81,ST,€0,€0,396,393,408,65,46,354,84
205,21146,M. Carrick,Manchester United,28,81,82,CM,€0,€0,369,359,395,240,60,383,86
206,19765,M. van Bommel,Milan,33,81,81,CDM,€0,€0,357,351,414,246,48,363,84
207,16254,T. Howard,Everton,31,81,81,GK,€0,€0,81,302,227,34,401,85,86
208,12259,S. Keita,FC Barcelona,30,81,81,CDM,€0,€0,368,385,412,244,37,357,85
209,9593,Guti,Beşiktaş JK,33,81,81,CAM,€0,€0,385,340,336,121,52,413,85
210,8247,Palop,Sevilla FC,36,81,81,GK,€0,€0,65,314,209,41,407,73,86
211,7784,D. Cissé,Panathinaikos FC,28,81,81,ST,€0,€0,349,419,397,53,56,314,82
212,7763,A. Pirlo,Milan,31,81,83,CAM,€0,€0,364,339,353,171,38,447,89
213,6908,D. Stanković,Inter,31,81,81,CAM,€0,€0,383,361,395,214,45,405,85
214,6647,W. Gallas,Tottenham Hotspur,32,81,81,CB,€0,€0,306,371,366,248,48,244,86
215,4077,Simão,Beşiktaş JK,30,81,81,RM,€0,€0,360,401,328,46,49,418,82
216,2651,S. Given,Manchester City,34,81,81,GK,€0,€0,92,264,238,34,397,96,85
217,2196,R. Weidenfeller,Borussia Dortmund,29,81,81,GK,€0,€0,89,316,267,46,391,84,83
218,1625,T. Henry,New York Red Bulls,32,81,82,CAM,€0,€0,387,411,371,57,49,406,89
219,1289,S. Frey,Fiorentina,30,81,81,GK,€0,€0,79,304,230,37,397,96,85
220,1238,F. Totti,Roma,33,81,85,CAM,€0,€0,401,368,352,89,58,423,90
221,1219,C. Abbiati,Milan,32,81,81,GK,€0,€0,86,286,244,41,403,101,85
222,193080,De Gea,Atlético Madrid,19,80,80,GK,€0,€0,78,298,243,38,407,108,85
223,189461,J. Wilshere,Arsenal,18,80,81,LM,€0,€0,368,387,356,200,56,401,88
224,188428,S. Doumbia,PFC CSKA Moscow,22,80,80,ST,€0,€0,338,423,360,107,53,360,85
225,186789,Victor,Grêmio,27,80,80,GK,€0,€0,88,289,243,44,400,107,85
226,186581,K. Honda,PFC CSKA Moscow,24,80,81,CAM,€0,€0,383,395,397,212,53,426,89
227,183280,A. Rami,LOSC Lille,24,80,80,CB,€0,€0,275,361,374,247,47,309,85
228,182879,B. Dzsudzsák,PSV,23,80,80,LW,€0,€0,356,383,359,72,43,405,84
229,182521,T. Kroos,FC Bayern München,20,80,80,CAM,€0,€0,374,371,369,124,51,410,88
230,182493,D. Godín,Atlético Madrid,24,80,80,CB,€0,€0,301,375,349,252,49,277,82
231,179764,D. Conca,Fluminense,27,80,82,LM,€0,€0,361,398,350,132,49,392,81
232,178562,E. Banega,Valencia CF,22,80,80,CM,€0,€0,363,387,359,221,45,398,86
233,177610,Javi Martinez,Athletic Club de Bilbao,21,80,80,CDM,€0,€0,360,349,382,232,45,336,83
234,177491,Eduardo,Croatia,27,80,80,ST,€0,€0,378,407,365,65,50,374,87
235,176676,Marcelo,Real Madrid,22,80,81,LM,€0,€0,348,409,382,235,36,387,83
236,174379,G. Castro,RCD Mallorca,25,80,80,LW,€0,€0,358,414,366,99,59,350,84
237,173909,K. Boateng,Milan,23,80,80,CM,€0,€0,382,394,408,214,49,391,85
238,173210,C. Marchisio,Juventus,24,80,81,RM,€0,€0,372,391,377,219,64,384,87
239,171897,A. Guardado,Deportivo de La Coruña,23,80,80,LW,€0,€0,358,394,358,156,43,385,86
240,170802,Geromel,1. FC Köln,24,80,80,CB,€0,€0,286,368,317,249,47,265,84
241,169195,Renato Augusto,Bayer 04 Leverkusen,22,80,82,RM,€0,€0,364,398,360,81,51,377,85
242,167628,S. Ruffier,AS Monaco,23,80,80,GK,€0,€0,91,279,192,34,406,112,83
243,166706,M. Škrtel,Liverpool,25,80,80,CB,€0,€0,264,364,323,247,44,226,85
244,164959,S. M'Bia,Olympique de Marseille,24,80,82,CB,€0,€0,340,394,410,247,48,344,86
245,164469,G. Agbonlahor,Aston Villa,23,80,80,ST,€0,€0,384,422,373,118,40,324,87
246,163711,L. Diarra,Real Madrid,25,80,80,CDM,€0,€0,266,399,368,246,51,320,85
247,163631,L. Baines,Everton,25,80,80,LWB,€0,€0,360,374,380,244,58,387,83
248,163155,B. Foster,Birmingham City,27,80,80,GK,€0,€0,92,266,227,41,398,110,84
249,162123,Amorebieta,Athletic Club de Bilbao,25,80,80,CB,€0,€0,278,348,361,244,50,239,81
250,160774,Fred,Fluminense,26,80,80,ST,€0,€0,379,386,388,49,33,355,85
251,160766,J. Ménez,Roma,23,80,82,RM,€0,€0,365,412,359,104,50,401,84
252,158372,I. Afellay,FC Barcelona,24,80,82,RW,€0,€0,364,412,374,158,46,400,87
253,155897,C. Dempsey,Fulham,27,80,80,ST,€0,€0,403,392,387,88,46,373,84
254,155885,A. McGeady,Spartak Moscow,24,80,80,RM,€0,€0,357,399,344,104,45,388,86
255,154950,Y. Zhirkov,Chelsea,26,80,80,LM,€0,€0,367,382,370,231,38,395,86
256,153177,M. Zárate,Lazio,23,80,80,CF,€0,€0,356,423,376,69,52,398,88
257,152820,Grafite,VfL Wolfsburg,31,80,80,ST,€0,€0,377,383,384,82,44,318,84
258,148557,I. Jeleń,AJ Auxerre,29,80,80,ST,€0,€0,379,410,376,78,41,344,85
259,148302,Liedson,Corinthians,32,80,80,ST,€0,€0,389,394,369,109,48,366,82
260,148217,A. Anyukov,Zenit St. Petersburg,27,80,80,RWB,€0,€0,357,399,384,238,61,368,84
261,146760,Juanfran,Atlético Madrid,25,80,80,RM,€0,€0,348,402,347,119,57,379,81
262,146741,Arbeloa,Real Madrid,27,80,80,RB,€0,€0,339,380,370,251,46,317,84
263,143408,O. Aliyev,Lokomotiv Moscow,25,80,80,CAM,€0,€0,373,392,389,86,54,415,86
264,139720,V. Kompany,Manchester City,24,80,80,CB,€0,€0,310,383,378,242,38,326,85
265,137809,Vágner Love,PFC CSKA Moscow,26,80,80,ST,€0,€0,356,413,384,78,54,321,85
266,137782,G. Johnson,Liverpool,25,80,80,RWB,€0,€0,347,400,386,250,35,362,85
267,137506,G. Pandev,Inter,26,80,80,CAM,€0,€0,388,390,378,106,55,404,85
268,137262,S. Kießling,Bayer 04 Leverkusen,26,80,80,ST,€0,€0,395,384,408,69,41,306,82
269,135339,Fábio,Cruzeiro,29,80,80,GK,€0,€0,74,334,224,36,396,85,84
270,121122,S. Rolfes,Bayer 04 Leverkusen,28,80,80,CDM,€0,€0,357,362,366,239,53,360,82
271,120312,M. Dawson,Tottenham Hotspur,26,80,80,CB,€0,€0,204,362,322,244,43,182,81
272,120304,J. Makoun,Aston Villa,27,80,80,CDM,€0,€0,340,400,388,238,49,332,86
273,117063,N. Douchez,Stade Rennais FC,30,80,80,GK,€0,€0,84,306,205,36,396,112,83
274,115533,D. Benaglio,VfL Wolfsburg,26,80,80,GK,€0,€0,96,333,252,37,398,114,86
275,112253,J. Toulalan,Olympique Lyonnais,26,80,80,CDM,€0,€0,276,397,381,245,45,335,85
276,106231,Aduriz,Valencia CF,29,80,80,ST,€0,€0,374,379,395,133,57,331,81
277,103935,A. Aquilani,Juventus,25,80,81,CAM,€0,€0,357,376,381,199,56,411,88
278,54033,T. Huddlestone,Tottenham Hotspur,23,80,80,CM,€0,€0,365,360,410,217,43,380,82
279,53055,M. Ambrosini,Milan,33,80,80,CDM,€0,€0,387,381,401,238,54,350,87
280,53030,A. Diarra,FC Girondins de Bordeaux,28,80,81,CB,€0,€0,329,382,395,236,53,282,85
281,52270,H. Westermann,Hamburger SV,26,80,80,CB,€0,€0,348,366,401,246,44,273,83
282,50752,L. King,Tottenham Hotspur,29,80,80,CB,€0,€0,237,358,301,238,54,219,83
283,49370,T. Motta,Inter,27,80,81,CM,€0,€0,374,363,400,227,46,384,85
